
# Efinity Pinout Report
# Version: 2021.1.165
# Date: 2022-01-05 17:11

# Copyright (C) 2017 - 2021 Efinix Inc. All rights reserved.

# Device: T8F81
# Package status: final
# Project: obstacle_whicle
# Configuration mode: active (x1)

Pin Number,Pin Name,Signal Name,Direction,Bank,I/O Bank Voltage,I/O Standard,Pull Type,Function
F4,GPIOL_04_CDI0,,Input,1A,3.3 V,,weak pullup,User IO/Configuration
F5,GPIOR_25,,Input,2B,3.3 V,,weak pullup,User IO
F6,GPIOR_24,,Input,2B,3.3 V,,weak pullup,User IO
F7,GPIOR_22_CTRL5,,Input,2B,3.3 V,,weak pullup,User IO/GCTRL
F8,GPIOR_20_CLK5,,Input,2B,3.3 V,,weak pullup,User IO/GCLK
F9,VCC,,Power,,,,,1.1 V VCC Power
G1,GPIOL_12_CTRL0,,Input,1A,3.3 V,,weak pullup,User IO/GCTRL
G2,GND,,Power,,,,,Ground
G3,GPIOL_07_CDI6,,Input,1A,3.3 V,,weak pullup,User IO
G4,GPIOL_03_CDI4,,Input,1A,3.3 V,,weak pullup,User IO
G5,GPIOL_00,,Input,1A,3.3 V,,weak pullup,User IO
G6,GPIOR_35_CSO,,Input,2B,3.3 V,,weak pullup,User IO/Configuration
G7,GND,,Power,,,,,Ground
G8,GPIOR_31,,Input,2B,3.3 V,,weak pullup,User IO
G9,GPIOR_26_CBSEL0,,Input,2B,3.3 V,,weak pullup,User IO
H1,GND,,Power,,,,,Ground
H2,GPIOL_10_CDI7,,Input,1A,3.3 V,,weak pullup,User IO
H3,GPIOL_06_CDI1,,Input,1A,3.3 V,,weak pullup,User IO/Configuration
H4,GPIOL_02_CCK,,Input,1A,3.3 V,,weak pullup,User IO/Configuration
H5,CDONE,,Output,1A,3.3 V,,,Configuration
H6,GPIOR_36,,Input,2B,3.3 V,,weak pullup,User IO
H7,VCCIO2B,,Power,2B,3.3 V,,,VCCIO Power
H8,GPIOR_32,,Input,2B,3.3 V,,weak pullup,User IO
H9,GPIOR_27,,Input,2B,3.3 V,,weak pullup,User IO
J1,VCCIO1A,,Power,1A,3.3 V,,,VCCIO Power
J2,GPIOL_09_CDI2,,Input,1A,3.3 V,,weak pullup,User IO
J3,GPIOL_05_CDI5,,Input,1A,3.3 V,,weak pullup,User IO
J4,GPIOL_01_SS_N,,Input,1A,3.3 V,,weak pullup,User IO/Configuration
J5,CRESET_N,,Input,1A,3.3 V,,,Configuration
J6,GPIOR_37_TEST_N,led[1],Output,2B,3.3 V,3.3 V LVTTL / LVCMOS,,User IO/Configuration
J7,GPIOR_34_CSI,,Input,2B,3.3 V,,weak pullup,User IO/Configuration
J8,GPIOR_30,,Input,2B,3.3 V,,weak pullup,User IO
J9,GPIOR_28,,Input,2B,3.3 V,,weak pullup,User IO
